data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,fonte_wattagem,fonte_certificacao,fonte_modular,fonte_atx3
2026-05-16,fonte,369658,"Fonte MSI MAG A650BN, 650W, 80 Plus Bronze, PFC Ativo, Com Cabo, Preto - 306-7ZP2B22-CE0",388.88,388.88,349.99,10,5,5883,True,MSI,Hardware/Fontes/Fonte 650W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/369658/fonte-msi-mag-a650bn-650w-80-plus-bronze-pfc-ativo-com-cabo-preto-306-7zp2b22-ce0,650.0,Bronze,,False
2026-05-16,fonte,907600,"Fonte Gigabyte P650G PG5, 650W, 80 PLUS Gold, PFC Ativo, Preto - 28200-P65G5-1CBRR",0.0,355.54,319.99,10,5,131,True,Gigabyte,Hardware/Fontes/Fonte 650W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/907600/fonte-gigabyte-p650g-pg5-650w-80-plus-gold-pfc-ativo-preto-28200-p65g5-1cbrr,650.0,Gold,,False
2026-05-16,fonte,516056,"Fonte Corsair CX Series CX650, 650W, 80 Plus Bronze, Com Cabo, Preto - CP-9020278-BR",0.0,488.88,439.99,10,5,508,True,Corsair,Hardware/Fontes/Fonte 650W,5 anos de garantia (3 meses de garantia legal + 57 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/516056/fonte-corsair-cx-series-cx650-650w-80-plus-bronze-com-cabo-preto-cp-9020278-br,650.0,Bronze,,False
2026-05-16,fonte,514896,"Fonte XPG Core Reactor II VE, 850W, 80 Plus Gold, Modular, PFC Ativo, Preto - 75261436",823.52,823.52,699.99,15,5,330,True,XPG,Hardware/Fontes/Fonte 850W,7 anos de garantia (3 meses de garantia legal + 81 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/514896/fonte-xpg-core-reactor-ii-ve-850w-80-plus-gold-modular-pfc-ativo-preto-75261436,850.0,Gold,,False
2026-05-16,fonte,369655,"Fonte MSI MAG A600DN, 600W, 80 Plus White, PFC Ativo, Com Cabo, Preto - 306-7ZP6B22-809",368.22,368.22,312.99,15,5,856,True,MSI,Hardware/Fontes/Fonte 600W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/369655/fonte-msi-mag-a600dn-600w-80-plus-white-pfc-ativo-com-cabo-preto-306-7zp6b22-809,600.0,,,False
2026-05-16,fonte,912181,"Fonte MACH1 Steady, 500W, 80 Plus Bronze, PFC Ativo, Preto - 500Steady",244.43,244.43,219.99,10,5,37,True,MACH1,Hardware/Fontes/Fonte 500W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/912181/fonte-mach1-steady-500w-80-plus-bronze-pfc-ativo-preto-500steady,500.0,Bronze,,False
2026-05-16,fonte,461382,"Fonte Gamer Rise Mode Zeus, 500W, PFC Ativo, Preto - RM-PSU-01-WT-500",0.0,328.22,278.99,15,5,490,True,Rise Mode,Hardware/Fontes/Fonte 500W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/461382/fonte-gamer-rise-mode-zeus-500w-pfc-ativo-preto-rm-psu-01-wt-500,500.0,,,False
2026-05-16,fonte,912182,"Fonte MACH1 Steady, 650W, 80 Plus Bronze, PFC Ativo, Preto - 650Steady",311.1,311.1,279.99,10,5,39,True,MACH1,Hardware/Fontes/Fonte 650W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/912182/fonte-mach1-steady-650w-80-plus-bronze-pfc-ativo-preto-650steady,650.0,Bronze,,False
2026-05-16,fonte,603223,"Fonte Husky Sledger 650W, 80 Plus Bronze, Cybenetics Bronze, PFC ativo, Bivolt - HFN650PT",386.35,386.35,339.99,12,5,643,True,Husky,Hardware/Fontes/Fonte 650W,2 anos de garantia (3 meses de garantia legal + 21 meses de garantia contratual junto ao fabricante),True,https://www.kabum.com.br/produto/603223/fonte-husky-sledger-650w-80-plus-bronze-cybenetics-bronze-pfc-ativo-bivolt-hfn650pt,650.0,Bronze,,False
2026-05-16,fonte,912176,"Fonte MACH1 Steady, 750W, 80 Plus Bronze, PFC Ativo, Preto - 750Steady",377.77,377.77,339.99,10,5,22,True,MACH1,Hardware/Fontes/Fonte 750W,3 anos de garantia (3 meses de garantia legal + 33 meses de garantia contratual junto ao fabricante),False,https://www.kabum.com.br/produto/912176/fonte-mach1-steady-750w-80-plus-bronze-pfc-ativo-preto-750steady,750.0,Bronze,,False
